Date Time Served,Bar Name,Brand Name,Opening Balance,Purchase,Consumed,Closing Balance
2026-01-01 18:00:00,Main Bar,Brand A,5000.0,0.0,2610.4453090551697,2389.5546909448303
2026-01-01 18:00:00,Main Bar,Brand B,5000.0,0.0,1332.7624794264825,3667.2375205735175
2026-01-01 18:00:00,Main Bar,Brand C,5000.0,0.0,744.032486098065,4255.967513901935
2026-01-01 18:00:00,Pool Bar,Brand A,5000.0,0.0,1898.3090851272805,3101.6909148727195
2026-01-01 18:00:00,Pool Bar,Brand B,5000.0,0.0,670.6385105700015,4329.361489429999
2026-01-01 18:00:00,Pool Bar,Brand C,5000.0,0.0,356.2430755059131,4643.756924494087
2026-01-02 18:00:00,Main Bar,Brand A,2389.5546909448303,4000.0,3449.2498664361633,2940.304824508667
2026-01-02 18:00:00,Main Bar,Brand B,3667.2375205735175,0.0,1968.916155594401,1698.3213649791164
2026-01-02 18:00:00,Main Bar,Brand C,4255.967513901935,0.0,930.2903166596914,3325.677197242243
2026-01-02 18:00:00,Pool Bar,Brand A,3101.6909148727195,0.0,2002.296403120575,1099.3945117521446
2026-01-02 18:00:00,Pool Bar,Brand B,4329.361489429999,0.0,1453.4360840786012,2875.925405351398
2026-01-02 18:00:00,Pool Bar,Brand C,4643.756924494087,0.0,663.5010193508842,3980.2559051432027
2026-01-03 18:00:00,Main Bar,Brand A,2940.304824508667,4000.0,3432.932104156161,3507.3727203525054
2026-01-03 18:00:00,Main Bar,Brand B,1698.3213649791164,4000.0,2194.099628287013,3504.221736692103
2026-01-03 18:00:00,Main Bar,Brand C,3325.677197242243,0.0,965.1606726421473,2360.5165246000956
2026-01-03 18:00:00,Pool Bar,Brand A,1099.3945117521446,4000.0,2000.646789798825,3098.7477219533193
2026-01-03 18:00:00,Pool Bar,Brand B,2875.925405351398,0.0,1373.7751223168698,1502.150283034528
2026-01-03 18:00:00,Pool Bar,Brand C,3980.2559051432027,0.0,538.4604527403121,3441.7954524028905
2026-01-04 18:00:00,Main Bar,Brand A,3507.3727203525054,4000.0,2761.9108795451198,4745.461840807386
2026-01-04 18:00:00,Main Bar,Brand B,3504.221736692103,0.0,1487.2115578861444,2017.0101788059587
2026-01-04 18:00:00,Main Bar,Brand C,2360.5165246000956,0.0,676.6899098247412,1683.8266147753543
2026-01-04 18:00:00,Pool Bar,Brand A,3098.7477219533193,0.0,1470.2346002773595,1628.5131216759598
2026-01-04 18:00:00,Pool Bar,Brand B,1502.150283034528,4000.0,1165.7164488331487,4336.43383420138
2026-01-04 18:00:00,Pool Bar,Brand C,3441.7954524028905,0.0,438.87387729104626,3002.9215751118445
2026-01-05 18:00:00,Main Bar,Brand A,4745.461840807386,0.0,2416.9214549489398,2328.540385858446
2026-01-05 18:00:00,Main Bar,Brand B,2017.0101788059587,4000.0,1440.067166123836,4576.943012682123
2026-01-05 18:00:00,Main Bar,Brand C,1683.8266147753543,4000.0,728.326261359841,4955.500353415514
2026-01-05 18:00:00,Pool Bar,Brand A,1628.5131216759598,4000.0,1746.4772329921166,3882.0358886838435
2026-01-05 18:00:00,Pool Bar,Brand B,4336.43383420138,0.0,1039.386287408974,3297.0475467924057
2026-01-05 18:00:00,Pool Bar,Brand C,3002.9215751118445,0.0,481.0191122165676,2521.902462895277
2026-01-06 18:00:00,Main Bar,Brand A,2328.540385858446,4000.0,3095.3949666298017,3233.145419228644
2026-01-06 18:00:00,Main Bar,Brand B,4576.943012682123,0.0,1431.5992574439997,3145.343755238123
2026-01-06 18:00:00,Main Bar,Brand C,4955.500353415514,0.0,653.1185235068493,4302.381829908664
2026-01-06 18:00:00,Pool Bar,Brand A,3882.0358886838435,0.0,1435.1639997425602,2446.871888941283
2026-01-06 18:00:00,Pool Bar,Brand B,3297.0475467924057,0.0,1071.0927899217772,2225.9547568706284
2026-01-06 18:00:00,Pool Bar,Brand C,2521.902462895277,0.0,531.2860050759042,1990.616457819373
2026-01-07 18:00:00,Main Bar,Brand A,3233.145419228644,4000.0,2499.917871179113,4733.227548049531
2026-01-07 18:00:00,Main Bar,Brand B,3145.343755238123,0.0,1363.9355895938454,1781.4081656442775
2026-01-07 18:00:00,Main Bar,Brand C,4302.381829908664,0.0,630.6373524702308,3671.7444774384335
2026-01-07 18:00:00,Pool Bar,Brand A,2446.871888941283,4000.0,1821.7564959857211,4625.115392955562
2026-01-07 18:00:00,Pool Bar,Brand B,2225.9547568706284,0.0,1090.947650707737,1135.0071061628914
2026-01-07 18:00:00,Pool Bar,Brand C,1990.616457819373,0.0,489.10710731797406,1501.5093505013988
2026-01-08 18:00:00,Main Bar,Brand A,4733.227548049531,0.0,2354.3054372757847,2378.922110773746
2026-01-08 18:00:00,Main Bar,Brand B,1781.4081656442775,4000.0,1531.2171663984082,4250.1909992458695
2026-01-08 18:00:00,Main Bar,Brand C,3671.7444774384335,0.0,698.4013782581325,2973.343099180301
2026-01-08 18:00:00,Pool Bar,Brand A,4625.115392955562,0.0,1707.7337895364594,2917.3816034191027
2026-01-08 18:00:00,Pool Bar,Brand B,1135.0071061628914,4000.0,1110.9428893599177,4024.0642168029735
2026-01-08 18:00:00,Pool Bar,Brand C,1501.5093505013988,0.0,466.0988795117771,1035.4104709896217
2026-01-09 18:00:00,Main Bar,Brand A,2378.922110773746,4000.0,3594.73318065098,2784.1889301227666
2026-01-09 18:00:00,Main Bar,Brand B,4250.1909992458695,0.0,2028.792334840267,2221.3986644056026
2026-01-09 18:00:00,Main Bar,Brand C,2973.343099180301,0.0,952.316596705679,2021.0265024746222
2026-01-09 18:00:00,Pool Bar,Brand A,2917.3816034191027,4000.0,2394.1600916213747,4523.2215117977275
2026-01-09 18:00:00,Pool Bar,Brand B,4024.0642168029735,0.0,1088.933692102516,2935.1305247004575
2026-01-09 18:00:00,Pool Bar,Brand C,1035.4104709896217,4000.0,584.4836724222743,4450.926798567348
2026-01-10 18:00:00,Main Bar,Brand A,2784.1889301227666,4000.0,3291.321619266702,3492.8673108560647
2026-01-10 18:00:00,Main Bar,Brand B,2221.3986644056026,4000.0,1918.5850556740384,4302.813608731563
2026-01-10 18:00:00,Main Bar,Brand C,2021.0265024746222,0.0,911.6897579116788,1109.3367445629433
2026-01-10 18:00:00,Pool Bar,Brand A,4523.2215117977275,0.0,2622.1645061658805,1901.057005631847
2026-01-10 18:00:00,Pool Bar,Brand B,2935.1305247004575,0.0,1181.1803459518542,1753.9501787486033
2026-01-10 18:00:00,Pool Bar,Brand C,4450.926798567348,0.0,677.2160415305866,3773.710757036761
2026-01-11 18:00:00,Main Bar,Brand A,3492.8673108560647,0.0,2085.7223802934277,1407.144930562637
